Date,FII_FUT,FII_OPT
12-01-2009,-407.7,373.02
13-01-2009,-1444.12,565.73
14-01-2009,-470.55,370.88
15-01-2009,-303.3,206.83
16-01-2009,-1016.76,-26.07
20-01-2009,-122.7,-90
21-01-2009,14.68,60.54
22-01-2009,-712.76,46.47
23-01-2009,229.25,202.12
27-01-2009,-333.34,-51.14
28-01-2009,1138.84,-184.53
29-01-2009,1130.35,-124.44
30-01-2009,464.52,270.05
02-02-2009,28.9,-91.16
03-02-2009,-625.74,-12.88
04-02-2009,275.49,-20.63
05-02-2009,309.75,127.06
06-02-2009,-221.28,134.57
09-02-2009,375.65,-242.86
10-02-2009,344.99,202.3
11-02-2009,39.4,170.01
12-02-2009,20.41,-270.97
13-02-2009,-290.88,-181.62
17-02-2009,-733.54,-211.24
18-02-2009,-469.65,106.36
19-02-2009,-331.1,50.19
20-02-2009,113.34,117.11
24-02-2009,-914.49,224.85
25-02-2009,-39.12,123.21
26-02-2009,46.37,309.38
27-02-2009,-252.43,85.48
02-03-2009,-537.53,19.32
03-03-2009,-343.92,-5.51
04-03-2009,-456.71,219.77
05-03-2009,613.62,-46.92
06-03-2009,96.83,-23.57
09-03-2009,678.57,-96.69
12-03-2009,-174.55,-0.52
13-03-2009,177.32,253.54
16-03-2009,1048.68,197.24
17-03-2009,637.43,-65.3
19-03-2009,331.36,-104.09
20-03-2009,-122.73,7.29
23-03-2009,331.36,-104.09
24-03-2009,464.9,250.65
25-03-2009,371.18,-98.46
26-03-2009,332.73,-80.38
27-03-2009,186.21,-290.5
30-03-2009,165.94,22.4
31-03-2009,-994.3,-443.89
01-04-2009,-1143.52,-112.84
02-04-2009,337.91,176.52
06-04-2009,1615.5,-40.61
08-04-2009,186.46,79.66
09-04-2009,909.6,-636.83
13-04-2009,614.44,47.46
15-04-2009,466.26,-68.74
16-04-2009,535.19,-764.16
17-04-2009,-323.89,-526.34
20-04-2009,-396.21,103.15
21-04-2009,-693.51,63.06
22-04-2009,57,-103.59
23-04-2009,-556.21,182.08
24-04-2009,238.9,233.91
27-04-2009,-251.4,46.21
28-04-2009,-150.46,123.87
29-04-2009,-796.83,-114.05
04-05-2009,-256.23,434.68
05-05-2009,310.38,-39.53
06-05-2009,-261.48,102.6
07-05-2009,9.42,-207.38
08-05-2009,266.38,168.66
11-05-2009,-423.03,-353.35
12-05-2009,-184.2,209.8
13-05-2009,1131.67,174.16
14-05-2009,-199.42,20.61
15-05-2009,-584.75,-194.97
18-05-2009,487.55,51.28
19-05-2009,503.75,26.44
20-05-2009,-290.51,-1498.56
21-05-2009,-874.97,-1749.06
22-05-2009,-1055.8,-632.29
26-05-2009,-767.13,-243.46
27-05-2009,-1246.31,-121.09
28-05-2009,404,295.75
29-05-2009,-812.81,-112.12
01-06-2009,803.4,-504.47
02-06-2009,405.77,-313.58
03-06-2009,-427.75,-76.64
04-06-2009,375.88,-278.85
05-06-2009,-1013.21,-666.21
08-06-2009,1083.99,-15.62
09-06-2009,-731.37,-450.07
10-06-2009,267.71,-486.35
11-06-2009,658.12,197.6
12-06-2009,-581.35,156.27
15-06-2009,-231.21,338.94
16-06-2009,-397.96,-140.8
17-06-2009,-1191.12,-435.88
18-06-2009,-1306.28,6.49
19-06-2009,-220.36,-220.69
22-06-2009,423.48,220.43
23-06-2009,198.57,270.14
24-06-2009,-439.62,-158.21
25-06-2009,604.71,354.96
26-06-2009,-553.99,67.05
29-06-2009,1149.98,-284.5
30-06-2009,-149.82,-292.7
01-07-2009,-583.61,-303.17
02-07-2009,-238.21,-18.94
06-07-2009,558.6,262.7
07-07-2009,-982.78,-172.3
08-07-2009,207.02,341.28
09-07-2009,-250.12,274.1
10-07-2009,62.47,346.79
13-07-2009,83.37,675.59
14-07-2009,-271.96,313.51
15-07-2009,558.37,753.05
16-07-2009,543.18,456.15
17-07-2009,113.68,-11.28
20-07-2009,691.58,-272.23
21-07-2009,892.96,-385.13
22-07-2009,321.17,-391.2
23-07-2009,-508.59,-401.62
24-07-2009,153.03,-170.34
27-07-2009,-321.17,-31.22
28-07-2009,89.71,100.37
29-07-2009,34.3,-568.57
30-07-2009,-1157.54,-506.04
31-07-2009,-150.69,-1.86
03-08-2009,189.77,239.66
04-08-2009,358.38,67.41
05-08-2009,-427.08,62.9
06-08-2009,-53.94,-51.24
07-08-2009,-230.62,209.31
10-08-2009,-681.4,-231.04
11-08-2009,118,380.81
12-08-2009,11.25,498.08
13-08-2009,-298.53,-188.19
14-08-2009,572.52,503.69
17-08-2009,-239.82,-155.37
18-08-2009,-163.03,-446.02
19-08-2009,-183.65,458.31
20-08-2009,-173.75,136.27
21-08-2009,326.88,471.37
24-08-2009,213.92,220.51
25-08-2009,984.74,597.63
26-08-2009,111.9,-156.02
27-08-2009,178.36,19.81
28-08-2009,-111.93,-120.08
31-08-2009,-288.43,-209.17
01-09-2009,464.6,-498.33
02-09-2009,822.77,-88.49
03-09-2009,-749.01,-453.86
04-09-2009,-35.26,-6.12
08-09-2009,1117.26,288.37
09-09-2009,815.79,199.32
10-09-2009,495.54,209.09
14-09-2009,115.4,-110.84
15-09-2009,-350.7,-6.71
16-09-2009,295.25,635.43
17-09-2009,335.79,433.47
18-09-2009,-471.08,-617.25
22-09-2009,-802.64,-592.08
23-09-2009,199.64,-17.13
24-09-2009,-527.58,-730.3
25-09-2009,601.17,-847.27
29-09-2009,-359.31,-359.31
30-09-2009,157.94,417.37
01-10-2009,-444.33,487.6
05-10-2009,-552.55,271.81
