Date,INDEX_FUT_BUY,INDEX_FUT_SELL,INDEX_FUT_NET,STK_FUT_BUY,STK_FUT_SELL,STK_FUT_NET,INDEX_OPT_BUY,INDEX_OPT_SELL,INDEX_OPT_NET,STK_OPT_BUY,STK_OPT_SELL,STK_OPT_NET,OPEN_INT,OPEN_INT_AMT
27/05/2021,7902.37,6612.78,1289.59,429957.13,425730.62,4226.51,30237.51,30943.92,-706.41,14001.32,14057.57,-56.25,1450174,111882.66
26/05/2021,7165.26,5688.76,1476.5,374417.54,372231.84,2185.7,43780.82,45740.75,-1959.93,18095.32,18447.37,-352.05,1468924,112694.28
25/05/2021,5194.92,5565.03,-370.11,356911.03,357585.17,-674.14,42160.87,43951.38,-1790.51,23889.27,23667.86,221.41,1493328,113958.33
24/05/2021,6178.64,4697.3,1481.34,274324.94,275291.51,-966.57,18636.08,19640.89,-1004.81,25575.75,25076.69,499.06,1476421,112437.22
21/05/2021,3442.59,4383.45,-940.86,677460.93,671581.46,5879.47,15003.31,16900.02,-1896.71,18443.12,18458.81,-15.69,1448453,109086.81
20/05/2021,3308.82,3160.06,148.76,415168.22,415467.12,-298.9,11715.79,13141.49,-1425.7,19566.29,19650.28,-83.99,1432462,108579.81
19/05/2021,6192.64,3116.62,3076.02,330513.51,324552.12,5961.39,14384.96,15341.69,-956.73,19777.26,19603.98,173.28,1425038,108497.81
18/05/2021,5102.09,4215.66,886.43,313681.08,318177.46,-4496.38,14874.29,13816.51,1057.78,19452.95,19333.54,119.41,1411226,105904.1
17/05/2021,4808.18,4182.97,625.21,248258.28,243614.34,4643.94,15428.04,16330.09,-902.05,21068.15,21409.21,-341.06,1400380,103473.09
14/05/2021,5755.18,6310.89,-555.71,688334.24,678081.32,10252.92,13442.35,15921.87,-2479.52,15775.92,16087.44,-311.52,1396569,103889.29
12/5/2021,3328.06,5548.22,-2220.16,392738.75,395979.2,-3240.45,12501.03,13591.07,-1090.04,13793.7,13783.08,10.62,1402539,105129.85
11/5/2021,2681.92,3004.01,-322.09,245491.15,242869.54,2621.61,11750.71,13425.06,-1674.35,12838.39,12769.85,68.54,1399251,105394.73
10/5/2021,2839.1,2436.62,402.48,177964.94,180248.18,-2283.24,12529.75,12815.29,-285.54,13513.11,13599.25,-86.14,1376263,102640.9
7/5/2021,3599.24,3850.53,-251.29,809995.04,808503.1,1491.94,11371.69,11352.94,18.75,11570.79,11580.48,-9.69,1361501,100751.62
6/5/2021,5559.75,5550.13,9.62,461927.42,464313.91,-2386.49,12880.91,12158.73,722.18,11621.64,11814.57,-192.93,1357699,99663.2
5/5/2021,5055.89,5370.06,-314.17,414776.74,412906.52,1870.22,14806.34,13628.32,1178.02,12642.16,12709.15,-66.99,1345097,97872.23
