Date,Open,High,Low,Close,Volume,VIX,Exchange,Crude
2010-01-04,5200.9,5238.45,5167.1,5232.2,148652000,23.64,46.295,81.51
2010-01-05,5277.15,5288.35,5242.4,5277.9,240844000,22.27,46.205,81.77
2010-01-06,5278.15,5310.85,5260.05,5281.8,216148000,22.12,45.695,83.18
2010-01-07,5281.8,5302.55,5244.75,5263.1,181247008,22.5,45.65,82.66
2010-01-08,5264.25,5276.75,5234.7,5244.75,201911008,22.57,45.47,82.75
2010-01-11,5263.8,5287.2,5227.8,5249.4,238012000,22.68,45.26,82.52
2010-01-12,5251.1,5300.5,5200.95,5210.4,206748000,23.08,45.66,80.79
2010-01-13,5212.6,5239.2,5169.55,5233.95,200775008,21.99,45.495,79.65
2010-01-14,5234.5,5272.85,5232.5,5259.9,171283008,20.98,45.6,79.39
2010-01-15,5259.9,5279.85,5242.45,5252.2,167242000,21.08,45.79,78.0
2010-01-19,5274.2,5287.8,5218.65,5225.65,141424992,22.34,45.76,79.02
2010-01-20,5226.1,5256.7,5201.4,5221.7,167867008,22.29,45.86,77.62
2010-01-21,5220.2,5220.35,5085.45,5094.15,190008992,23.5,46.23,76.08
2010-01-22,5094.15,5094.15,4954.85,5036.0,270252000,24.85,46.225,74.54
2010-01-25,5034.55,5035.7,4983.05,5007.9,166404992,25.82,46.075,75.26
2010-01-27,5008.5,5008.5,4833.05,4853.1,274774016,28.92,46.19,73.67
2010-01-28,4863.0,4929.9,4824.95,4867.25,275868992,26.96,46.25,73.64
2010-01-29,4866.15,4893.7,4766.0,4882.05,265192000,26.13,46.125,72.89
2010-02-01,4882.05,4918.8,4827.15,4899.7,226819008,25.61,46.14,74.43
2010-02-02,4907.85,4951.15,4814.1,4830.1,235091008,26.69,46.125,77.23
2010-02-03,4831.0,4949.15,4831.0,4931.85,163104992,25.54,45.925,76.98
2010-02-04,4931.3,4931.3,4832.35,4845.35,167815008,27.07,46.235,73.14
